profID,avgDifficulty,avgRating,department,firstName,lastName,numRatings,wouldTakeAgainPercent
2048250,2.9,5.0,Computer Science,James,Juett,69,100
1991134,3.9,4.8,Computer Science,Marcus,Darden,26,100
